Title,Year,Genre,Director,Cast,Languages,Plot
Outrageous Fortune,1987.0,Comedy|Mystery,Arthur Hiller,"Shelley Long,Bette Midler,Peter Coyote,Robert Prosky,John Schuck",English,"Refined actress Lauren Ames finally has a chance to study with the great theatre professor Stanislav Korzenowski. Sandy Brozinsky, a brash, loud actress, decides through happenstance to also study with Korzenowski. The two women end up dating the same man (who turns out to be a double agent) and follow him across the country to force him to choose between them."
One Magic Christmas,1985.0,Drama|Fantasy,Phillip Borsos,"Mary Steenburgen,Gary Basaraba,Elisabeth Harnois,Arthur Hill,Wayne Robson",English,"Ginny Grainger, a young mother, rediscovers the joy and beauty of Christmas, thanks to the unshakable faith of her six-year-old daughter Abbie and Gideon, Ginny's very own guardian angel."
Dog Day Afternoon,1975.0,Comedy|Crime|Drama,Sidney Lumet,"Al Pacino,John Cazale,Charles Durning,Chris Sarandon,James Broderick",English,"Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus."
Benji,1974.0,Adventure|Children's,Joe Camp,"Patsy Garrett,Allen Fiuzat,Cynthia Smith,Peter Breck,Frances Bavier",English,"Benji is a stray who has nonetheless worked his way into the hearts of a number of the townspeople, who give him food and attention whenever he stops by. His particular favorites are a pair of children who feed and play with him against the wishes of their parents. When the children are kidnapped, however, the parents and the police are at a loss to find them. Only Benji can track them down, but will he be in time? If he can save the day, he may just find the permanent home he's been longing for."
"Cowboy Way, The",1994.0,Action|Comedy,Gregg Champion,"Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Ernie Hudson,Marg Helgenberger",English,"Two championship rodeo partners travel to New York to find their missing friend, Nacho Salazar who went missing there."
"Original Kings of Comedy, The",2000.0,Comedy|Documentary,Spike Lee,"Steve Harvey,D.L. Hughley,Cedric the Entertainer,Bernie Mac",English,"The house is rockin' and the laughs are rollin' as comedians Steve Harvey (The Steve Harvey Show), D.L.Hughley (The Hughleys), Cedric The Entertainer (The Steve Harvey Show) and Bernie Mac (Life) meet in this riotously comedy summit directed by Spike Lee."
Blue Velvet,1986.0,Drama|Mystery,David Lynch,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,Hope Lange",English,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child."
Ferris Bueller's Day Off,1986.0,Comedy,John Hughes,"Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,Jennifer Grey",English,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister."
Tommy,1975.0,Drama|Musical,Ken Russell,"Oliver Reed,Ann-Margret,Roger Daltrey,Elton John,Eric Clapton",English,"A psychosomatically deaf, dumb and blind boy becomes a master pinball player and the object of a religious cult."
"Soldier's Daughter Never Cries, A",1998.0,Drama,James Ivory,"Kris Kristofferson,Leelee Sobieski,Jane Birkin,Barbara Hershey,Dominique Blanc","English,Français","This fictionalized story, based on the family life of writer James Jones, is an emotional slice-of-life story. Jones is portrayed here portrayed as Bill Willis, a former war hero turned author who combats alcoholism and is starting to experience health problems. Living in France with his wife, daughter, and an adopted son, the family travels an unconventional road which casts them as outsiders to others. Preaching a sexual freedom, his daughter's sexual discovery begins at an early age and betrays her when the family moves to Hanover in America. Her overt sexuality clashes with the values of her teenage American peers and gives her a problematic reputation. Meanwhile, her brooding brother copes with his own interior pain regarding his past, only comfortable communicating within the domestic space."
Some Mother's Son,1996.0,Drama,Terry George,"Helen Mirren,Fionnula Flanagan,Aidan Gillen,David O'Hara,John Lynch","English,Gaeilge","Based on the true story of the 1981 hunger strike in a British prison, in which IRA prisoner Bobby Sands led a protest against the treatment of IRA prisoners as criminals rather than as prisoners of war. The film focuses on the mothers of two of the strikers, and their struggle to save the lives of their sons."
Roula,1995.0,Drama,Martin Enlen,"Anica Dobra,Martin Umbach,Tina Hamperl,Ernst Jacobi,Felicitas Grimm-Luck",Deutsch,"Troubled Roula finds herself drawn to Leon, an author of children's books who has suffered an enormous emotional and creative blockage ever since his wife died in a motorcycle accident two years before. Leon has only his 12-year-old daughter Tanja to keep him company. As romance blooms between Leon and Roula, his daughter approves. Unfortunately, Roula is carrying heavy emotional baggage stemming from the incest she suffered at the hands of her father."
"Sixth Sense, The",1999.0,Thriller,M. Night Shyamalan,"Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,Trevor Morgan","Latin,Español,English","Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret."
Paths of Glory,1957.0,Drama|War,Stanley Kubrick,"Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,Wayne Morris","English,Deutsch,Latin",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.
Angels and Insects,1995.0,Drama|Romance,Philip Haas,"Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp,Douglas Henshall",English,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
For the Moment,1993.0,Romance|War,Aaron Kim Johnston,"Russell Crowe,Christianne Hirt,Wanda Cannon,Scott Kraft,Peter Outerbridge",English,"This Canadian film presents and old-fashioned war time romance.  It is set during 1942 in Manitoba and traces the doomed affair between a young farmer's wife (Christianne Hirt) whose husband is fighting abroad and a dashing Australian pilot (Russell Crowe).  The pilot has come to train in the British Commonwealth Air Training Plan of Canada.  When the pilot, Lachlan, is not training, he is surreptitiously wooing Lill, the farmer's wife.  At the other end of town, Betsy (Wanda Cannon) who supports her two kids by bootlegging, charges for her services.  She gets involved with Zeek (Scott Kraft), an American flight instructor."
It Happened Here,1966.0,Drama,"Kevin Brownlow,Andrew Mollo","Pauline Murray,Sebastian Shaw,Bart Allison,Frank Bennett,Nicolette Bernard","English,Deutsch,Polski","World War II, 1940. When the Nazi hordes invade and occupy Great Britain, the English citizens are soon divided between those who choose to submissively collaborate and those who are willing to fight."
Love Affair,1994.0,Drama|Romance,Glenn Gordon Caron,"Warren Beatty,Annette Bening,Katharine Hepburn,Garry Shandling,Chloe Webb",English,"Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. They become romantic on board a ship sent to take them to a larger island. They agree to meet in New York three months later to see if the attraction is real. One shows up but the other doesn't. However, a chance meeting brings them together again."
Broken Vessels,1998.0,Drama,Scott Ziehl,"Todd Field,Jason London,Roxana Zal,Susan Traylor,James Hong",,"A young Pennsylvania man moves to Los Angeles to begin work for an ambulance service. There he is teamed with a supremely confident vet who seemingly has gone through a large number of partners. Initially the novice is awed by the more experienced man's capabilities to deal with the high pressure situations they encounter. However, gradually he discovers that all is not as it seems. While the vet is ice on the surface, he actually gets through the ordeals by heavy drug use and avoids commitments. Soon the younger man finds himself pulled into the same world and has to decide what direction he wants to take."
"Fiendish Plot of Dr. Fu Manchu, The",1980.0,Comedy,Piers Haggard,"Peter Sellers,Helen Mirren,David Tomlinson,Sid Caesar,Simon Williams",English,"Fu Manchu's 168th birthday celebration is dampened when a hapless flunky spills Fu's age-regressing elixir vitae. Fu sends his lackeys to round up ingredients for a new batch of elixir, starting with the Star of Leningrad diamond, nabbed from a Soviet exhibition in Washington. The FBI sends agents Capone and Williams to England to confer with Nayland Smith, an expert on Fu."
Tough and Deadly,1995.0,Action|Drama|Thriller,Steve Cohen,"Roddy Piper,Billy Blanks,Richard Norton,James Karen,Gary Kasper",English,A private eye helps an amnesiac CIA agent elude mobsters who don't want him to regain his memory of their drug operation.
Major Payne,1995.0,Comedy,Nick Castle,"Damon Wayans,Karyn Parsons,William Hickey,Michael Ironside,Albert Hall","English,Español","Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch of ragtag losers with no hope."
"Creature From the Black Lagoon, The",1954.0,Horror,Jack Arnold,"Richard Carlson,Julie Adams,Richard Denning,Antonio Moreno,Nestor Paiva",English,"When scientists exploring the Amazon River stumble on a “missing link” connecting humans and fish, they plan to capture it for later study. But the Creature has plans of his own, and has set his sights on the lead scientist's beautiful fiancée, Kay."
Dancer in the Dark,2000.0,Drama|Musical,Lars von Trier,"Björk,Catherine Deneuve,David Morse,Peter Stormare,Joel Grey",English,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings."
"Guns of Navarone, The",1961.0,Action|Drama|War,J. Lee Thompson,"Gregory Peck,David Niven,Anthony Quinn,Stanley Baker,Anthony Quayle","English,Deutsch,ελληνικά","A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers."
Salut cousin!,1996.0,Comedy|Drama,Merzak Allouache,"Gad Elmaleh,Massoud Hattou,Magaly Berdy,Ann-Gisel Glass,Jean Benguigui","العربية,Français","The comedy in this lively film barely conceals its darker, more serious undertones as it chronicles a young Algerian's eye-opening introduction to the joys and travails of being an immigrant in Paris. Alilo has left his home to pick up an important suitcase for his employer. Unfortunately, he has lost the Parisian address. Fortunately, his cousin Mok, emigrated there several years before with his middle-class family before and is able to act as a guide. Mok, an aspiring rap singer, comes from a middle-class family, but chooses to live on his own in the dilapidated deteriorating 18th district, known as 'Moskova.' Mok characterizes the place as a haven for artists and intellectuals, but it is plainly just a Third World slum filled with tightly knit and colorful neighbors. Mok and Alilo have many interesting, some tragedy-tinged adventures over the five days it takes them to find the suitcase."
Top Hat,1935.0,Comedy|Musical|Romance,Mark Sandrich,"Fred Astaire,Ginger Rogers,Edward Everett Horton,Erik Rhodes,Eric Blore","English,Italiano","Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace."
Superman III,1983.0,Action|Adventure|Sci-Fi,Richard Lester,"Christopher Reeve,Richard Pryor,Jackie Cooper,Marc McClure,Annette O'Toole","English,Italiano,Español","Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer."
"Loss of Sexual Innocence, The",1999.0,Drama,Mike Figgis,"Julian Sands,Saffron Burrows,Justin Chadwick,Stefano Dionisi,Kelly Macdonald",English,The story of the sexual development of a filmmaker through three stages of his life.
Voyage to the Beginning of the World,1997.0,Drama,Manoel de Oliveira,"Marcello Mastroianni,Jean-Yves Gautier,Leonor Silveira,Diogo Dória,Manoel de Oliveira","Français,Português","Manoel is an aging film director who travels with the film crew through Portugal in search of the origins of Afonso, a famous French actor whose father emigrated from Portugal to France and in process remembers his own youth."
Anchors Aweigh,1945.0,Comedy|Musical,George Sidney,"Frank Sinatra,Kathryn Grayson,Gene Kelly,José Iturbi,Dean Stockwell","English,Español","Two sailors, Joe and Clarence have four days shore leave in spend their shore leave trying to get a girl for Clarence. Clarence has his eye on a girl with musical aspirations, and before Joe can stop him, promises to get her an audition with José Iturbi. But the trouble really starts when Joe realizes he's falling for his buddy's girl."
Synthetic Pleasures,1995.0,Documentary,Iara Lee,,English,"Conceived as an electronic road movie, this documentary investigates cutting edge technologies and their influence on our culture as we approach the 21st century. It takes off from the idea that mankind's effort to tap the power of Nature has been so successful that a new world is suddenly emerging,an artificial reality. Virtual Reality, digital and biotechnology, plastic surgery and mood-altering drugs promise seemingly unlimited powers to our bodies, and our selves. This film presents the implications of having access to such power as we all scramble to inhabit our latest science fictions."
Male and Female,1919.0,Adventure|Drama,Cecil B. DeMille,"Thomas Meighan,Gloria Swanson,Lila Lee,Theodore Roberts,Robert Cain",No Language,"When an aristocratic family and their servants are shipwrecked, the butler becomes their ruler."
Little Lord Fauntleroy,1936.0,Drama,John Cromwell,"Freddie Bartholomew,Dolores Costello,C. Aubrey Smith,Guy Kibbee,Henry Stephenson",English,"An American boy turns out to be the heir of a wealthy British earl. He is sent to live with the irritable and unsentimental aristocrat, his grandfather."
"Goodbye, Lover",1999.0,Comedy|Crime|Thriller,Roland Joffé,"Patricia Arquette,Dermot Mulroney,Mary-Louise Parker,Ellen DeGeneres,John Neville",English,Police investigate when a man having an affair with his brother's wife disappears suddenly.
Rosemary's Baby,1968.0,Horror|Thriller,Roman Polanski,"Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,Maurice Evans",English,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family."
"Enfer, L'",1994.0,Drama,Claude Chabrol,"Emmanuelle Béart,François Cluzet,Nathalie Cardone,André Wilms,Marc Lavoine",Français,An irritable and stressed-out hotel manager begins to develop paranoid delusions about his wife's infidelity.
Ravenous,1999.0,Drama|Horror,Antonia Bird,"Guy Pearce,Robert Carlyle,David Arquette,Jeremy Davies,Jeffrey Jones","English,Español","Upon receiving reports of missing persons at Fort Spencer, a remote Army outpost on the Western frontier, Capt. John Boyd investigates. After arriving at his new post, Boyd and his regiment aid a wounded frontiersman who recounts a horrifying tale of a wagon train murdered by its supposed guide -- a vicious U.S. Army colonel gone rogue. Fearing the worst, the regiment heads out into the wilderness to verify the gruesome claims."
Murder!,1930.0,Mystery|Thriller,Alfred Hitchcock,"Herbert Marshall,Edward Chapman,Esme Percy,Norah Baring,Phyllis Konstam",English,"When a woman is convicted of murder, one of the jurors selected to serve on the murder-trial jury believes the accused, an aspiring actress, is innocent of the crime and takes it upon himself to apprehend the real killer."
Back Stage,2000.0,Documentary,Chris Fiore,"Jay-Z,DMX,Method Man,Redman,Beanie Sigel",English,"If you ever wanted to know what really goes on backstage, this is the definitive inside look - uncut and uncensored. Complete with on-stage performances you'll see an intimate view of what life is like at one of the biggest Rap Concert tours of all time. It shows life on the road, in hotels and off stage in a way you've never seen before."
"Fly, The",1958.0,Horror|Sci-Fi,Kurt Neumann,"David Hedison,Patricia Owens,Vincent Price,Herbert Marshall,Kathleen Freeman","Français,English","Industrialist François Delambre is called late at night by his sister-in-law, Helene Delambre, who tells him that she has just killed her husband, André. Reluctant at first, she eventually explains to the police that André invented a matter transportation apparatus and, while experimenting on himself, a fly entered the chamber during the matter transference."
Angela,1995.0,Drama,Rebecca Miller,"Miranda Rhyne,Charlotte Eve Blythe,Anna Levine Thomson,John Ventimiglia,iO Tillett Wright",English,"A ten year old girl named Angela leads her six year old sister, Ellie, through various regimens of 'purification' in an attempt to rid themselves of their evil, which she believes to be the cause of their mother's mental illness. Precocious, to say the least, Angela has visions of Lucifer coming to take her and her sister away, and one of her remedies for this is for them to remain within a circle of their dolls and toys until they see a vision of the virgin Mary come to them. But such thinking can only lead to an ending befitting of her own mental state."
Police Academy 4: Citizens on Patrol,1987.0,Comedy,Jim Drake,"Steve Guttenberg,Bubba Smith,Michael Winslow,David Graf,Tim Kazurinsky",English,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail."
"American in Paris, An",1951.0,Musical|Romance,Vincente Minnelli,"Gene Kelly,Leslie Caron,Oscar Levant,Georges Guétary,Nina Foch","English,Français,Deutsch","Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art."
Taxi Driver,1976.0,Drama|Thriller,Martin Scorsese,"Robert De Niro,Jodie Foster,Cybill Shepherd,Harvey Keitel,Peter Boyle","English,Español",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.
Madame Sousatzka,1988.0,Drama,John Schlesinger,"Shirley MacLaine,Navin Chowdhry,Shabana Azmi,Peggy Ashcroft,Twiggy",English,"In London, eccentric piano instructor Madame Sousatzka takes on a new prize protégé, Manek, a teenage Bengali immigrant who displays incredible talent. Manek forms a close bond with his teacher, but soon discovers that she expects her pupils to become disciplined in all areas of life, and not just behind the piano"
Brenda Starr,1989.0,Adventure,Robert Ellis Miller,"Brooke Shields,Timothy Dalton,Diana Scarwid,Tony Peck,Nestor Serrano",English,"Fearless reporter Brenda Starr needs a big scoop if she wishes to retain her lofty status within the world of journalism, so she ventures deep into the Amazon to investigate a story involving a mad scientist's plot to blow the planet to smithereens. Her investigation pits her against a collection of dastardly villains and the myriad dangers of the jungle."
Running Scared,1986.0,Action|Comedy,Peter Hyams,"Gregory Hines,Billy Crystal,Steven Bauer,Darlanne Fluegel,Joe Pantoliano",English,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.
Pal Joey,1957.0,Comedy|Musical|Romance,George Sidney,"Rita Hayworth,Frank Sinatra,Kim Novak,Barbara Nichols,Bobby Sherwood",English,An opportunistic singer woos a wealthy widow to boost his career.
"Faraway, So Close (In Weiter Ferne, So Nah!)",1993.0,Drama|Fantasy,Wim Wenders,"Otto Sander,Bruno Ganz,Nastassja Kinski,Peter Falk,Solveig Dommartin","English,Français,Deutsch,Italiano,Pусский","Damiel is now married to Marion, runs the pizzeria “Da Angelo” and the two have a child. The solitarily remaining angel Cassiel is more and more dissatisfied with his destiny as a mere observer of human life and finally decides to take the great leap. As Karl Engel he soon gets into a dubious milieu and finds himself as the assistant of the German American Baker, who makes his money with shady arms deals and sends films east in exchange for weapons. Cassiel's adventure turns into a “thriller” when he decides to put a stop to Baker's game."
I Like It Like That,1994.0,Comedy|Drama|Romance,Darnell Martin,"Luna Lauren Velez,Jon Seda,Tomas Melly,Desiree Casado,Isaiah Garcia","Español,English","Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved?"
Natural Born Killers,1994.0,Action|Thriller,Oliver Stone,"Woody Harrelson,Juliette Lewis,Robert Downey Jr.,Tommy Lee Jones,Tom Sizemore","English,,日本語",Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.
"Guardian, The",1990.0,Horror|Thriller,William Friedkin,"Jenny Seagrove,Dwier Brown,Carey Lowell,Brad Hall,Miguel Ferrer",English,"Phil and Kate select the winsome young Camilla as a live-in nanny for their newborn child, but the seemingly lovely Camilla is not what she appears to be..."
"Hi-Lo Country, The",1998.0,Drama|Western,Stephen Frears,"Billy Crudup,Woody Harrelson,Penélope Cruz,Patricia Arquette,Cole Hauser",English,"An intimate story of the enduring bond of friendship between two hard-living men, set against a sweeping backdrop: the American West, post-World War II, in its twilight. Pete and Big Boy are masters of the prairie, but ultimately face trickier terrain: the human heart."
"Invitation, The (Zaproszenie)",1986.0,Drama,Wanda Jakubowska,"Antonina Gordon-Górecka,Maria Probosz,Kazimierz Witkiewicz,Leszek Żentara,Wiesława Mazurkiewicz",Polski,
Metro,1997.0,Action,Thomas Carter,"Eddie Murphy,Kim Miyori,Art Evans,James Carpenter,Michael Rapaport",English,"Roper, a hostage negotiator catches a murderous bank robber after a blown heist. The bank robber escapes and immediately goes after the man who put him behind bars."
Every Other Weekend,1990.0,Drama,Nicole Garcia,"Nathalie Baye,Joachim Serreau,Felicie Pasotti,Miki Manojlović,Henri Garcin",Français,"Camille, a mercurial César-winning actress, has seen better times. Estranged from her husband, she's with her children only every other weekend. It's her weekend, but her agent has booked her to MC a Rotary club dinner in Vichy. She takes them with her, and when her husband learns this, he demands to pick them up at once. She bolts in a rented car to the seaside, trying to improve her relations with the children, especially the precocious and distant Vincent. He loves astronomy. A rare meteor shower is due in a few days, so she suggests they go to a plateau in Spain hoping to see it. He agrees, but the relationship remains difficult, and her husband is on their trail."
Theodore Rex,1995.0,Comedy,Jonathan R. Betuel,"Whoopi Goldberg,Armin Mueller-Stahl,Juliet Landau,Bud Cort,Stephen McHattie",English,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon."
Heart Condition,1990.0,Comedy,James D. Parriott,"Bob Hoskins,Denzel Washington,Chloe Webb,Roger E. Mosley,Ja'net DuBois","Afrikaans,English","Racist police officer Jack Moony has a vendetta against Napoleon Stone, a charismatic black lawyer who is sleeping with Jack's old flame Crystal Gerrity. Jack has a heart attack, but his life is saved when he receives Stone's heart, since Stone died mysteriously the same night as Jack was stricken. Stone is not completely gone, however, and as a ghost he is all too happy to give Jack advice on how he should do his job and live his life."
Death Wish V: The Face of Death,1994.0,Action|Drama,Allan A. Goldstein,"Charles Bronson,Lesley-Anne Down,Michael Parks,Chuck Shamata,Robert Joy",English,"Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters"
Eyes of Laura Mars,1978.0,Mystery|Thriller,Irvin Kershner,"Faye Dunaway,Tommy Lee Jones,Brad Dourif,René Auberjonois,Raúl Juliá",English,A famous fashion photographer develops a disturbing ability to see through the eyes of a serial killer.
"Day of the Beast, The (El día de la bestia)",1995.0,Comedy|Horror|Thriller,Álex de la Iglesia,"Álex Angulo,Armando De Razza,Santiago Segura,Terele Pávez,Nathalie Seseña","Italiano,Español","The story revolves around a Basque Roman Catholic priest dedicated to committing as many sins as possible, a death metal salesman from Carabanchel, and the Italian host of a TV show on the occult. These go on a literal ""trip"" through Christmas-time Madrid to hunt for and prevent the reincarnation of the Antichrist."
"Quiet Room, The",1996.0,Drama,Rolf de Heer,"Celine O'Leary,Paul Blackwell,Chloe Ferguson,Phoebe Ferguson,Kate Greetham",English,A seven-year-old girl adopts a vow of silence in protest when her quarrelsome parents grow increasingly hostile to one another.
Tales from the Hood,1995.0,Comedy|Horror,Rusty Cundieff,"Clarence Williams III,Joe Torry,De'Aundre Bonds,Samuel Monroe Jr.,Wings Hauser",English,A strange funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.
"Next Stop, Wonderland",1998.0,Comedy|Drama|Romance,Brad Anderson,"Hope Davis,Alan Gelfant,Victor Argo,H. Jon Benjamin,Cara Buono",English,A lighthearted story about a man and a woman who seem destined to be together... and the hilarious chain of accidents that seem determined to keep them apart!
"Glass Shield, The",1994.0,Crime|Drama,Charles Burnett,"Michael Boatman,Lori Petty,Ice Cube,Erich Anderson,Bernie Casey",English,"J.J. is a rookie in the Sheriff's Department and the first black officer at that station. Racial tensions run high in the department as some of J.J.'s fellow officers resent his presence. His only real friend is the other new trooper, the first female officer to work there, who also suffers similar discrimination in the otherwise all-white male work environment. When J.J. becomes increasingly aware of police corruption during the murder trial of Teddy Woods, whom he helped to arrest, he faces difficult decisions and puts himself into grave personal danger in the service of justice."
In the Company of Men,1997.0,Drama,Neil LaBute,"Aaron Eckhart,Stacy Edwards,Matt Malloy,Michael Martin,Mark Rector",English,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life."
"Grandfather, The (El Abuelo)",1998.0,Drama,José Luis Garci,"Fernando Fernán Gómez,Rafael Alonso,Cayetana Guillén Cuervo,Agustín González,Cristina Cruz",Español,"After his son dies, an elderly man comes back to Spain from the US and hopes to find out which of his granddaughters is true, and which one is bastard."
"Prince of Central Park, The",2000.0,Drama,John Leekley,"Kathleen Turner,Danny Aiello,Cathy Moriarty,Frankie Nasso,Harvey Keitel",English,"A young boy sets out to find his mother. After setting up camp in Central Park, he encounters a group of people even needier than himself."
Hellhounds on My Trail,2000.0,Documentary,Robert Mugge,"Roosevelt Barnes,Rory Block,R.L. Burnside,Junior Kimbrough,Robert Johnson",English,"Hellhounds On My Trail is a tribute to the influence of Delta Blues legend Robert Johnson and the effect that he has had on today's music.  The film was made in conjunction with the ""American Masters Series"" week-long tribute put on by the Rock and Roll Hall of Fame and chronicles the legacy of Robert Johnson through interviews and speeches by a number of musicologists and through the performances of Robert Johnson's work by a number of fairly popular contemporary artists.  The film features performances from Rob Wasserman and Bob Weir from the Grateful Dead; Keb' Mo; Robert Lockwood Jr.; G Love and Special Sauce; Gov't Mule and a lot of other performers."
Fools Rush In,1997.0,Comedy|Romance,Andy Tennant,"Matthew Perry,Salma Hayek Pinault,Jon Tenney,Carlos Gómez,Tomas Milian","English,Español","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions."
Man of the Century,1999.0,Comedy,Adam Abraham,"Gibson Frazier,Cara Buono,Ian Edwards,Brian Davies,Susan Egan",English,"Fantasy-comedy about a young man who lives as if it is 1928 or so, and his encounters with modern-day women and modern-day criminals."
"Yards, The",2000.0,Crime|Mystery,James Gray,"Mark Wahlberg,Joaquin Phoenix,Charlize Theron,James Caan,Ellen Burstyn","Español,English","In the rail yards of Queens, contractors repair and rebuild the city's subway cars. These contracts are lucrative, so graft and corruption are rife. When Leo Handler gets out of prison, he finds his aunt married to Frank Olchin, one of the big contractors; he's battling with a minority-owned firm for contracts."
Black and White,1999.0,Drama,James Toback,"Robert Downey Jr.,Scott Caan,Stacy Edwards,Allan Houston,Gaby Hoffmann",English,"Rich Bower is an up-and-coming star in the hip-hop world. Everyone wants to be around him, including Raven and her fellow upper-class white high school friends. The growing appeal of black culture among white teens fascinates documentary filmmaker Sam Donager, who sets out to chronicle it with her husband, Terry. But before Bower was a rapper, he was a gangster, and his criminal past comes back to haunt him and all those around him."
Threesome,1994.0,Comedy|Romance,Andrew Fleming,"Lara Flynn Boyle,Stephen Baldwin,Josh Charles,Alexis Arquette,Martha Gehman",English,"At a sizable public college, high-minded student Eddy is forced to room with the slovenly Stuart, but the pair strike up a surprising friendship. When attractive co-ed Alex is assigned to live with the two male students because of her gender-neutral name, a roundabout love triangle ensues. Eddy secretly yearns for Stuart, who wants Alex, but she prefers Eddy. The complex situation leads to sexual experimentation and strained relationships."
That Thing You Do!,1996.0,Comedy,Tom Hanks,"Tom Hanks,Tom Everett Scott,Liv Tyler,Johnathon Schaech,Steve Zahn",English,"A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager."
"Great Dictator, The",1940.0,Comedy,Charlie Chaplin,"Charlie Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,Henry Daniell","English,Esperanto",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Herbie Goes to Monte Carlo,1977.0,Adventure|Children's|Comedy,Vincent McEveety,"Dean Jones,Don Knotts,Julie Sommars,Jacques Marin,Roy Kinnear","Français,English","Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. But thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back."
Places in the Heart,1984.0,Drama,Robert Benton,"Sally Field,Lindsay Crouse,John Malkovich,Danny Glover,Ed Harris",English,"In 1930s Texas, a widow and her family fight to save their home by harvesting cotton."
